City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
83,gadzhiyevo,69.2551,33.3362,1.92,72,100,5.44,RU,1697584428
84,nemuro,43.3236,145.575,12.22,68,38,9.18,JP,1697584428
85,vadso,70.0744,29.7487,0.49,80,100,6.17,NO,1697584384
86,san juan,-31.5375,-68.5364,22.52,19,49,4.01,AR,1697584418
87,tual,-5.6667,132.75,27.04,80,79,8.0,ID,1697584430
88,benguela,-12.5763,13.4055,23.53,78,72,2.06,AO,1697584430
89,santa ana de yacuma,-13.75,-65.4333,32.75,36,37,1.61,BO,1697584431
90,abeche,13.8292,20.8324,29.67,17,91,6.5,TD,1697584432
91,hami,42.8,93.45,6.44,59,0,0.2,CN,1697584432
92,vorgashor,67.5833,63.95,1.62,96,100,4.46,RU,1697584432
93,lazaro cardenas,17.9583,-102.2,27.36,85,98,2.39,MX,1697584433
94,port alfred,-33.5906,26.891,15.66,91,0,6.89,ZA,1697584433
95,mao,39.8885,4.2658,23.31,83,0,5.66,ES,1697584433
96,merizo village,13.2658,144.6691,29.99,92,98,4.94,GU,1697584433
97,avarua,-21.2078,-159.775,25.03,61,41,7.2,CK,1697584179
98,tiksi,71.6872,128.8694,-15.89,100,100,1.13,RU,1697584423
99,karwar,14.8,74.1333,25.46,88,77,2.34,IN,1697584434
100,mount isa,-20.7333,139.5,26.87,14,0,4.12,AU,1697584434
101,shahba,32.8551,36.629,15.4,61,0,2.44,SY,1697584434
102,puerto ayora,-0.7393,-90.3518,25.31,89,93,3.13,EC,1697584435
103,quetta,30.199,67.0097,12.9,70,21,2.51,PK,1697584435
104,siem reap,13.5,104.0,23.89,94,100,1.3,KH,1697584435
105,shaowu,27.3409,117.4831,16.25,88,0,1.13,CN,1697584435
106,hawaiian paradise park,19.5933,-154.9731,28.91,74,75,5.14,US,1697584436
107,itaueira,-7.6033,-43.0256,29.78,21,6,4.18,BR,1697584436
108,mata-utu,-13.2816,-176.1745,27.29,79,99,8.77,WF,1697584436
109,ambodifotatra,-16.9833,49.85,24.29,82,10,3.39,MG,1697584436
110,djibo,14.1022,-1.6306,32.75,34,75,2.18,BF,1697584437
111,le port,-20.9373,55.2919,23.0,92,92,1.64,RE,1697584437
112,saipan,15.1355,145.701,28.39,89,20,4.12,MP,1697584437
113,chonchi,-42.6128,-73.8092,12.84,81,71,1.04,CL,1697584437
114,san patricio,28.017,-97.5169,25.4,30,0,2.73,US,1697584391
115,falmouth,50.1544,-5.0711,15.5,88,100,9.77,GB,1697584438
116,barclayville,4.6797,-8.2339,24.48,91,28,1.7,LR,1697584438
117,hermanus,-34.4187,19.2345,15.87,91,0,2.15,ZA,1697584438
118,pacific grove,36.6177,-121.9166,27.53,81,0,4.92,US,1697584438
